epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4400237500667572,0.0010000000474974513,1.333318829536438,0.5263158082962036,0.9782523512840271
1,0.49406176805496216,0.0010000000474974513,1.172059178352356,0.5983379483222961,0.9040365815162659
2,0.5926365852355957,0.0010000000474974513,0.9875279664993286,0.6343490481376648,1.035390853881836
3,0.6347981095314026,0.0010000000474974513,0.9306505918502808,0.6897506713867188,0.7895819544792175
4,0.6864607930183411,0.0010000000474974513,0.8229416608810425,0.7340720295906067,0.6562709212303162
5,0.7078384757041931,0.0010000000474974513,0.7315513491630554,0.7950138449668884,0.5580474734306335
6,0.7030878663063049,0.0010000000474974513,0.7780014872550964,0.7811634540557861,0.5742787718772888
7,0.7357482314109802,0.0010000000474974513,0.6803385615348816,0.81717449426651,0.5064426064491272
8,0.7404988408088684,0.0010000000474974513,0.6899340152740479,0.8227146863937378,0.49251675605773926
9,0.7238717079162598,0.0010000000474974513,0.6831561923027039,0.8060941696166992,0.5508002042770386
10,0.7262470126152039,0.0010000000474974513,0.6710523962974548,0.7867035865783691,0.5876203179359436
