epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3527315855026245,0.0010000000474974513,1.4211816787719727,0.40720221400260925,1.191048264503479
1,0.28681710362434387,0.0010000000474974513,1.3424421548843384,0.4570637047290802,1.1590116024017334
2,0.5320665240287781,0.0010000000474974513,1.153821349143982,0.6426593065261841,1.0722581148147583
3,0.6181710362434387,0.0010000000474974513,0.9140914082527161,0.6759002804756165,0.8510289788246155
4,0.6407363414764404,0.0010000000474974513,0.8763514757156372,0.678670346736908,0.8944218754768372
5,0.6633016467094421,0.0010000000474974513,0.8545963764190674,0.6952908635139465,0.6931528449058533
6,0.6496437191963196,0.0010000000474974513,0.8374448418617249,0.7340720295906067,0.7630743980407715
7,0.6823040246963501,0.0010000000474974513,0.8062785267829895,0.7091412544250488,0.5954090356826782
8,0.6787410974502563,0.0010000000474974513,0.8001899719238281,0.7590027451515198,0.6024943590164185
9,0.7019002437591553,0.0010000000474974513,0.7867635488510132,0.7257617712020874,0.7584010362625122
10,0.745843231678009,0.0005000000237487257,0.6275920867919922,0.7673130035400391,0.7007342576980591
11,0.7517814636230469,0.0005000000237487257,0.6405117511749268,0.7811634540557861,0.5847681760787964
12,0.7565320730209351,0.0005000000237487257,0.6083179712295532,0.8254847526550293,0.4688861072063446
13,0.7571259140968323,0.0005000000237487257,0.6069016456604004,0.8005540370941162,0.5319409966468811
14,0.7779097557067871,0.0005000000237487257,0.5931224226951599,0.7562326788902283,0.4930436313152313
15,0.79038006067276,0.0002500000118743628,0.5375478863716125,0.8060941696166992,0.44721853733062744
16,0.8129453659057617,0.0002500000118743628,0.5277875661849976,0.8337950110435486,0.45601871609687805
17,0.809382438659668,0.0002500000118743628,0.5084090232849121,0.7839335203170776,0.45594993233680725
18,0.8147268295288086,0.0001250000059371814,0.4761912524700165,0.7922437787055969,0.46857622265815735
19,0.8254156708717346,0.0001250000059371814,0.4834953248500824,0.7673130035400391,0.4575134813785553
20,0.8194774389266968,6.25000029685907e-05,0.46505412459373474,0.7811634540557861,0.4474002420902252
