epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.45961993932724,0.0005000000237487257,1.3769599199295044,0.49030470848083496,1.2158347368240356
1,0.5902612805366516,0.0005000000237487257,1.2124313116073608,0.5817174315452576,1.0466668605804443
2,0.6247031092643738,0.0005000000237487257,1.0077996253967285,0.6343490481376648,0.7955290079116821
3,0.6567695736885071,0.0005000000237487257,0.9109852313995361,0.7174515128135681,0.7013546228408813
4,0.7042755484580994,0.0005000000237487257,0.8409842252731323,0.7063711881637573,0.7419688701629639
5,0.720308780670166,0.0005000000237487257,0.7533496618270874,0.8033241033554077,0.5742706060409546
6,0.716152012348175,0.0005000000237487257,0.7490686774253845,0.811634361743927,0.5203461050987244
7,0.7197149395942688,0.0005000000237487257,0.7493594288825989,0.7562326788902283,0.6619824171066284
8,0.7315914630889893,0.0005000000237487257,0.7241110801696777,0.8310249447822571,0.4590672552585602
9,0.7583135366439819,0.0005000000237487257,0.6714920997619629,0.8060941696166992,0.525112509727478
10,0.7434679269790649,0.0005000000237487257,0.6900620460510254,0.8144044280052185,0.46065759658813477
11,0.7785035371780396,0.0002500000118743628,0.6573870778083801,0.8448753356933594,0.44307833909988403
12,0.75,0.0002500000118743628,0.650581419467926,0.8282548189163208,0.4647563099861145
13,0.7767220735549927,0.0002500000118743628,0.6417589783668518,0.8254847526550293,0.4897518455982208
14,0.7785035371780396,0.0001250000059371814,0.6340808272361755,0.742382287979126,0.708547055721283
15,0.7779097557067871,0.0001250000059371814,0.6032336950302124,0.8088642954826355,0.5105211138725281
16,0.7737529873847961,6.25000029685907e-05,0.6045336723327637,0.8254847526550293,0.4851958751678467
