epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4204275608062744,0.0010000000474974513,1.359736442565918,0.5844875574111938,1.0136685371398926
1,0.5653206706047058,0.0010000000474974513,1.1419819593429565,0.5401661992073059,0.9855610728263855
2,0.6175771951675415,0.0010000000474974513,0.9699552059173584,0.6204985976219177,1.0402281284332275
3,0.6668646335601807,0.0010000000474974513,0.8790565729141235,0.7451523542404175,0.6898602843284607
4,0.6882422566413879,0.0010000000474974513,0.8584544658660889,0.7867035865783691,0.5896440148353577
5,0.694774329662323,0.0010000000474974513,0.787529706954956,0.7867035865783691,0.5660724639892578
6,0.7119952440261841,0.0010000000474974513,0.75873202085495,0.8227146863937378,0.5121912956237793
7,0.7345605492591858,0.0010000000474974513,0.7029435038566589,0.8033241033554077,0.552451491355896
8,0.7209026217460632,0.0010000000474974513,0.7095339298248291,0.811634361743927,0.5050180554389954
9,0.754156768321991,0.0010000000474974513,0.6595655679702759,0.7285318374633789,0.7645403742790222
10,0.7220902442932129,0.0010000000474974513,0.7045955061912537,0.8088642954826355,0.5374848246574402
11,0.7422803044319153,0.0005000000237487257,0.6398296356201172,0.8033241033554077,0.554594099521637
12,0.764845609664917,0.0005000000237487257,0.6554745435714722,0.8282548189163208,0.48971396684646606
13,0.760688841342926,0.0005000000237487257,0.6379356980323792,0.8393352031707764,0.42507436871528625
14,0.7779097557067871,0.0005000000237487257,0.6077680587768555,0.7756232619285583,0.5789724588394165
15,0.7636579275131226,0.0005000000237487257,0.6230840086936951,0.8227146863937378,0.46060270071029663
16,0.8064132928848267,0.0002500000118743628,0.5869455933570862,0.7950138449668884,0.5886462926864624
17,0.7927553653717041,0.0002500000118743628,0.5564228892326355,0.8033241033554077,0.5463093519210815
18,0.7957244515419006,0.0001250000059371814,0.5517324209213257,0.7894737124443054,0.6768521666526794
