epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.45665082335472107,0.0010000000474974513,1.1603214740753174,0.5927977561950684,1.003136157989502
1,0.6199524998664856,0.0010000000474974513,0.9302533864974976,0.6897506713867188,0.775938868522644
2,0.7042755484580994,0.0010000000474974513,0.7291836738586426,0.698060929775238,0.7467983365058899
3,0.7535629272460938,0.0010000000474974513,0.6002410650253296,0.747922420501709,0.6088200211524963
4,0.7731591463088989,0.0010000000474974513,0.5490574240684509,0.7783933281898499,0.6160802245140076
5,0.7874109148979187,0.0010000000474974513,0.5181723833084106,0.8033241033554077,0.5867010354995728
6,0.8058194518089294,0.0010000000474974513,0.47542083263397217,0.747922420501709,0.7066475749015808
7,0.8099762201309204,0.0010000000474974513,0.4630042612552643,0.8033241033554077,0.551707923412323
8,0.8301662802696228,0.0010000000474974513,0.4184471368789673,0.8365650773048401,0.4815695285797119
9,0.8224465847015381,0.0010000000474974513,0.4387331008911133,0.8365650773048401,0.447391539812088
10,0.8372921347618103,0.0010000000474974513,0.404175341129303,0.8393352031707764,0.48232772946357727
11,0.8414489030838013,0.0010000000474974513,0.39722663164138794,0.8144044280052185,0.5636174082756042
12,0.8509501218795776,0.0005000000237487257,0.3704816699028015,0.8060941696166992,0.6056504845619202
13,0.8485748171806335,0.0005000000237487257,0.3732336163520813,0.8448753356933594,0.4634588062763214
14,0.853919267654419,0.0002500000118743628,0.3674139082431793,0.8282548189163208,0.5130136609077454
