,precision,recall,f1-score,support
Black Rot,0.8961038961038961,0.575,0.700507614213198,120.0
Esca,0.6363636363636364,0.7903225806451613,0.7050359712230215,124.0
Healthy,0.4189189189189189,0.4305555555555556,0.4246575342465753,144.0
Leaf Blight,0.0,0.0,0.0,87.0
accuracy,0.48210526315789476,0.48210526315789476,0.48210526315789476,0.48210526315789476
macro avg,0.4878466128466128,0.4489695340501792,0.4575502799206987,475.0
weighted avg,0.5195071216123848,0.48210526315789476,0.4897601243552532,475.0
