Metric,Score
Test loss,0.418841689825058
Test accuracy,0.8204419889502762
Macro precision,0.6986763236763236
Macro recall,0.6701784950180328
Macro F1,0.6805055103885698
Weighted F1,0.8159137592983104
Majority-class accuracy baseline,0.4530386740331492
