,precision,recall,f1-score,support
Black Rot,0.5384615384615384,0.4666666666666667,0.5,15.0
Esca,0.7564102564102564,0.8872180451127819,0.8166089965397924,133.0
Healthy,0.987012987012987,0.926829268292683,0.9559748427672956,164.0
Leaf Blight,0.5128205128205128,0.4,0.449438202247191,50.0
accuracy,0.8204419889502762,0.8204419889502762,0.8204419889502762,0.8204419889502762
macro avg,0.6986763236763236,0.6701784950180328,0.6805055103885698,362.0
weighted avg,0.8182061952780184,0.8204419889502762,0.8159137592983104,362.0
